Date of Stop,Personal Injuries
1/3/12,2
1/5/12,5
1/6/12,1
1/7/12,6
1/8/12,7
1/10/12,5
1/11/12,2
1/12/12,1
1/13/12,6
1/15/12,5
1/16/12,2
1/18/12,4
1/20/12,4
1/21/12,2
1/23/12,2
1/24/12,25
1/25/12,4
1/26/12,1
1/30/12,5
1/31/12,1
2/2/12,3
2/3/12,4
2/4/12,3
2/5/12,2
2/7/12,6
2/8/12,4
2/9/12,2
2/13/12,3
2/14/12,5
2/15/12,1
2/17/12,9
2/18/12,2
2/19/12,15
2/21/12,17
2/22/12,21
2/23/12,19
2/25/12,2
2/26/12,1
2/27/12,7
2/28/12,5
2/29/12,6
3/1/12,4
3/2/12,4
3/3/12,3
3/5/12,11
3/6/12,6
3/7/12,1
3/9/12,1
3/10/12,5
3/11/12,1
3/12/12,7
3/13/12,1
3/14/12,10
3/15/12,1
3/16/12,12
3/17/12,11
3/18/12,2
3/19/12,7
3/20/12,19
3/21/12,16
3/22/12,11
3/23/12,7
3/25/12,10
3/26/12,8
3/27/12,1
3/30/12,4
3/31/12,1
4/1/12,19
4/2/12,4
4/3/12,10
4/4/12,8
4/24/12,1
5/13/12,1
5/14/12,1
5/29/12,1
5/31/12,1
6/6/12,1
7/2/12,3
7/14/12,1
7/21/12,1
7/23/12,2
7/27/12,1
8/3/12,1
8/8/12,1
8/29/12,5
9/1/12,2
9/5/12,1
9/7/12,3
9/11/12,3
9/13/12,3
9/22/12,1
10/7/12,1
10/19/12,2
10/20/12,2
10/21/12,1
10/31/12,1
11/8/12,1
11/11/12,4
11/12/12,4
11/13/12,2
11/21/12,3
11/22/12,1
12/8/12,2
12/11/12,2
12/20/12,1
1/6/13,1
1/19/13,1
1/31/13,1
2/8/13,1
2/11/13,2
2/12/13,4
2/14/13,1
3/5/13,1
3/7/13,1
3/11/13,1
3/12/13,1
3/13/13,2
3/21/13,1
3/28/13,1
4/3/13,1
4/8/13,4
4/11/13,5
4/12/13,4
4/17/13,1
4/27/13,5
5/10/13,1
5/16/13,1
5/30/13,1
6/28/13,3
7/1/13,3
7/2/13,13
7/3/13,11
7/9/13,3
7/10/13,1
7/13/13,2
7/14/13,2
7/15/13,6
7/17/13,2
7/18/13,1
7/25/13,2
8/1/13,1
8/12/13,1
8/14/13,1
8/16/13,2
8/24/13,4
8/26/13,2
